"Card Title","ID","Owner","Created Date","Updated Date","Images","Card Database (All)","Sets","Stars","Card Type","Planet","Rarities","Card Ability","Banlist?","Power","Health"
"Smud - The Swamp","2fb2ca39-d3a6-4bfe-9c0b-be94070aa654","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:28Z,2022-04-08T15:41:28Z,"wix:image://v1/c3c13c_046965dc555c4838914714f5ea5c656e~mv2.jpg/D3%2014%20-%20Smud%20the%20Swamp.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 3: The Mysteries of Gaios""]",,"Combiner","Gaios","{""Base Galaxy 3: The Mysteries of Gaios"":""Common""}",,,260,420
"Mooosh","301a7037-b99f-4db9-b74e-ba8c7b1cb919","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:32Z,2022-04-23T20:46:13Z,"wix:image://v1/c3c13c_a9c530e27beb4e8ba858810759902c76~mv2.jpg/4%2030%20-%20Mooosh.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",6,"Creature","Gaios","{""IV - Planets United"":""Common""}","You can free play this handed creature by killing 2 of your zoned creatures. If they are both Gaios creatures, remove 1 opponent's empty battle zones.",,330,200
"Doople Drop","328abed8-15c7-4fa7-81f5-6dddd862e595","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:18Z,2022-08-27T03:15:36Z,"wix:image://v1/c3c13c_4a2eb073dac143a28bac684b0f588a8b~mv2.jpg/d1%2011%20-%20doople%20drop.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 1: The Depths of Palicium"",""Palicium Planetary Collection"",""Legends of the Cosmos""]",2,"Creature","Palicium","{""Base Galaxy 1: The Depths of Palicium"":""Common"",""Palicium Planetary Collection"":""Rare"",""Legends of the Cosmos"":""Common""}","This card can count as 2 separate creatures when being used for the ability of the planet Palicium.",,20,20
"Acab The Utopanon Guard","328e8de3-29cb-479b-b3f3-f0abd60c5ad9","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:16Z,2022-04-23T20:42:38Z,"wix:image://v1/c3c13c_af359a57b6544159b3f22389306ff067~mv2.jpg/003%20-%20Acab%20the%20Utopanon%20Guard.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 5: The Justice of Sindian""]",3,"Creature","Sindian","{""Base Galaxy 5: The Justice of Sindian"":""Common""}","If you have another zoned Utopanon Guard when you cost play this creature, you must kill 1 zoned creature.",,140,120
"Phantom Matter","3557d124-4b78-42ef-aa63-83e22486bbe3","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:22Z,2025-04-13T20:15:28Z,"wix:image://v1/c3c13c_ec665162206f468383832b4fbf1c6cc6~mv2.jpg/1%20093%20-%20Phantom%20Matter.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos""]",,"Attachment",,"{""I - The Origin of Chaos"":""Really Rare""}","Free play one of your opponent's killed creatures to your planet and attach it to this card. If this card becomes un-attached, kill the creature.","Banned - No copies of this card are allowed in your deck",,
"Trollogram","35cec83a-166d-4df8-8442-2b87e6b8585a","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:16Z,2022-04-08T15:41:16Z,"wix:image://v1/c3c13c_2e881afae6624670b4d963fba97cc3bd~mv2.jpg/3%2080%20-%20Trollogram.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",,"Permanent Resource",,"{""III - Galactic Divide"":""Common""}","The first time any of your zoned creatures with 90 or less health would be killed by an attack, they are not killed.",,,
"Boulder Dragon","36051944-c251-4c9d-8af2-d949c3a0abfc","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:24Z,2022-04-23T20:42:56Z,"wix:image://v1/c3c13c_3af0906714314cabb134aedfb3fb8787~mv2.jpg/D4%203%20-%20Boulder%20Dragon.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 4: The Wastelands of Baro""]",4,"Creature","Baro","{""Base Galaxy 4: The Wastelands of Baro"":""Common""}",,,190,210
"Galactisaber","367e8ca6-7618-4a44-a252-0d3cc7de2a62","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:24Z,2022-04-09T23:55:29Z,"wix:image://v1/c3c13c_38523809334043029dde7699afe36d54~mv2.jpg/1%2081%20-%20galactisabre.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos"",""Legends of the Cosmos""]",,"Attachment",,"{""I - The Origin of Chaos"":""Common"",""Legends of the Cosmos"":""Common""}","The attached creature's power is increased by 70.",,,
"Zammer Zead","369e0cd7-c58b-45a3-9877-1dfbe44e54f4","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:52Z,2022-11-02T08:02:02Z,"wix:image://v1/06e28e_a759b5dab23949c4b36531edaaf5b078~mv2.jpg/052-Zammer-Zead.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",3,"Creature","Palicium","{""V - Beyond Horizons"":""Rare""}","When this creature is cost played, add 1 zone of any type to your planet.",,160,20
"Weatherman Sounshine","36ace461-5385-443f-a257-9e2f5c12296b","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:30Z,2022-04-23T20:49:28Z,"wix:image://v1/c3c13c_00caf621ed964c648e4c484064b2f880~mv2.jpg/2%2040%20-%20Weatherman%20Sounchine.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries""]",2,"Creature","Sheos","{""II - Deep Space Discoveries"":""Common""}","If you play this creature whilst a Weatherman Soun is on your planet, kill 1 random card in your opponent's hand. Also, double that Weatherman Soun's health until it is killed.",,140,40
"Soulomancer","36c3c750-4d55-4ce1-bbda-1326d4dbcafe","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:30Z,2022-04-23T20:47:33Z,"wix:image://v1/c3c13c_42a7b61e06a540669437298b19994c6d~mv2.jpg/D4%2012%20-%20Soulomancer.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 3: The Mysteries of Gaios""]",3,"Creature","Gaios","{""Base Galaxy 3: The Mysteries of Gaios"":""Rare""}","When you play this card, choose 1 killed creature which has more health than power and attach it to this card. This creature gains power equal to the difference between that creature's health and power.",,50,180
"Lemul","3892345e-c16b-4129-955e-db1b401cb426","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:51Z,2022-11-02T07:50:18Z,"wix:image://v1/06e28e_8a5a1a9625ba47718481787611828f0a~mv2.jpg/011-Lemul.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",3,"Creature","Baro","{""V - Beyond Horizons"":""Common""}","Once per turn, after you cost play another Baro creature, add 1 creature zone to your planet.",,30,230
"The Warrior Who Looks Pretty Powerful But Isn't","38bb5639-24dc-486a-a99f-0ea3acb084cc","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:24Z,2022-04-23T20:48:34Z,"wix:image://v1/c3c13c_727b78ab86ad4d2caafda99b8cc09644~mv2.jpg/3%2029%20-%20WWLPPBI.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",8,"Creature ","Palicium","{""III - Galactic Divide"":""Rare""}","Whilst this creature is zoned, it is a 1 star creature.",,90,80
"Mwhale","38da56d3-5d11-4b88-8278-773f3e21498b","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:26Z,2022-04-23T20:46:11Z,"wix:image://v1/c3c13c_d65e0268d7e846a4b54d2052373a598f~mv2.jpg/3%2013%20-%20Mwhale.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",2,"Creature","Sheos","{""III - Galactic Divide"":""Common""}",,,20,190
"Ghatomic Ghurple-Gren","3994e94a-686f-4880-9e10-81977a48c377","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:28Z,2022-04-23T20:45:01Z,"wix:image://v1/c3c13c_0bc52e5173c842c39b74eb3fed64c330~mv2.jpg/005%20-%20Ghatomic%20Ghurple-Gren.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 6: The Corruption of Sindell""]",6,"Creature","Sindell","{""Base Galaxy 6: The Corruption of Sindell"":""Rare""}","If this creature is cost played, you can add 1 galaxied Ghi to your hand. If this creature is free played by the ability of ghi, draw 1 card.",,260,220
"Sparki","3997138e-aa79-46ea-af5d-8f06f71dde38","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:28Z,2022-04-23T20:47:31Z,"wix:image://v1/c3c13c_ec4a492b25a247a48c8d3b2f92b7d09a~mv2.jpg/1%2026%20-%20Sparki.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos""]",1,"Creature","Sheos","{""I - The Origin of Chaos"":""Common""}",,,60,60
"Moltown the Sheosian Moon","3b08e7b8-5493-424a-b86e-c215252aefe6","e6d5323f-c6e3-4cbc-a736-057743ef2f24",2024-02-22T04:11:13Z,2024-02-22T04:41:22Z,"wix:image://v1/e6d532_93181a60ece64e8e9b75b2816a579293~mv2.jpg/044%20-%20Moltown%20the%20Sheosian%20Moon.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Sheos Planetary Collection""]",,"Moon",,,"Attack only to the planet card Sheos. Once per turn, you can either increase the count on the planet ability of Sheos by 1 or have all zoned Sheos creatures gain 50 power until the end of your opponent's next turn.",,,
"Skelequeen","3be7e7b5-879e-4ff8-a142-e5d304c994e3","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:51Z,2022-11-02T07:58:09Z,"wix:image://v1/06e28e_d378c2d033e6440bb06ca922a97c6c02~mv2.jpg/019-Skelequeen.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",6,"Creature","Sindell","{""V - Beyond Horizons"":""Rare""}",,,400,80
"Stardustrog","3c83dcfa-1381-435e-9a88-1db155485f43","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:26Z,2022-04-23T20:48:09Z,"wix:image://v1/c3c13c_686dae82f6374d7f99629cd5c305b9a2~mv2.jpg/005%20-%20stardustrog.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy: Rokah""]",4,"Creature","Rokah","{""Base Galaxy: Rokah"":""Rare""}","Only once, gain 1 star for each revealed card in your opponent's hand.",,250,60
"Thousand Eyed Fish","3cc5095a-1b2e-42b2-bb19-42479954edaf","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:18Z,2022-04-23T20:48:31Z,"wix:image://v1/c3c13c_8edc1dc7976747b9a5527e8d79f40fa0~mv2.jpg/1%207%20-%201000%20eyed%20fish.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos""]",4,"Creature","Palicium","{""I - The Origin of Chaos"":""Common""}",,,140,250
"Astral Traveller","3ceef9aa-f27f-46a0-a618-a67fb6302e1e","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:22Z,2022-04-23T20:42:47Z,"wix:image://v1/c3c13c_74797c5783ea42f7b56e7671df054098~mv2.jpg/2%2043%20-%20Astral%20Traveller.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries"",""Legends of the Cosmos""]",3,"Creature","No Planet","{""II - Deep Space Discoveries"":""Common"",""Legends of the Cosmos"":""Common""}",,,170,170
"Death Talisman Patrilius","3cf6eb53-5d71-4465-a2c4-f122cf51e293","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:16Z,2022-04-09T23:54:04Z,"wix:image://v1/c3c13c_34f4822eed6c47c2a634ff9416c6167b~mv2.jpg/D2%2031%20Death%20Talisman%20Patrilius.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 2: The Infernos of Sheos"",""Legends of the Cosmos""]",,"Attachment",,"{""Base Galaxy 2: The Infernos of Sheos"":""Common"",""Legends of the Cosmos"":""Common""}","Attach only to a Palicium creature. When this card has been on a player's planet for 2 of that player's full turns, kill all creature's on their planet.",,,
"Bernard the Space Worm","3d24e240-05ca-454d-aa49-40b047e4a1e2","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:32Z,2022-08-24T22:13:35Z,"wix:image://v1/c3c13c_8269fc25c72044859859c21df56861bc~mv2.jpg/4%2051%20-%20Bernard%20the%20Space%20Worm.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",4,"Creature","No Planet","{""IV - Planets United"":""Common""}","Whist this creature is zoned, neither player can play activator cards.","Banned - No copies of this card are allowed in your deck",150,250
"Thaddeus The Utopanon General","3d4a9399-58ae-4684-a234-e4ec8e54a0d0","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:22Z,2022-04-23T20:48:42Z,"wix:image://v1/c3c13c_b81b93a39eba48f0bfad024de2e0bc84~mv2.jpg/005%20-%20Thaddeus%20the%20Utopanon%20General.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 5: The Justice of Sindian""]",6,"Creature","Sindian","{""Base Galaxy 5: The Justice of Sindian"":""Rare""}","Whilst you have 2+ zoned Utopanon Guard creatures, this creature's power & health are doubled.",,220,200
"Army of Justice - U Ranks","3d730b2f-3cc4-4413-9827-0cd76bc8680b","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:51Z,2022-11-02T07:43:11Z,"wix:image://v1/06e28e_5d29933098c04fbab85c96fd7592ec53~mv2.jpg/028-Army-of-justice-U-Ranks.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",,"Combiner","Sindian","{""V - Beyond Horizons"":""Common""}","Only once, you can add 1 galaxied, 3 star or lower Baro, Sindian or Gaios creature to your hand...",,440,400
"Kabultimate","3ed604d1-ca53-4ebf-8abc-5d65dd7c475f","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:28Z,2022-04-23T20:45:47Z,"wix:image://v1/c3c13c_eb2348e380a94ac09f40b43ad4650f7e~mv2.jpg/4%2021%20-%20Kabultimate.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",8,"Creature","No Planet","{""IV - Planets United"":""Really Rare""}","Once per turn, you can kill 1 of your zoned creatures that has 4 or more home planets to free play this killed card. When you do, add 1 killed kabonk attachment to your hand. ",,410,330
"Orbit","3f128f36-106b-4dba-ac6a-5291e43d12a0","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:28Z,2022-04-09T23:47:03Z,"wix:image://v1/c3c13c_f36e655009554df0899e52fedb8e383b~mv2.jpg/1%2059%20-%20Orbit.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos"",""Legends of the Cosmos""]",,"Resource",,"{""I - The Origin of Chaos"":""Common"",""Legends of the Cosmos"":""Rare""}","Both players swap stars with each other until the end of your opponent's next turn. You can't play this card if you have already added a zone to your planet this turn. ",,,
"Truent","3f541b0d-b1bd-4fbc-a782-d4a88fe38c90","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:18Z,2022-04-23T20:48:52Z,"wix:image://v1/c3c13c_41ee40b23953429ca18f9fd61a12373e~mv2.jpg/4%20101%20-%20Truent.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",6,"Creature","Gaios","{""IV - Planets United"":""Limited Edition""}","When your opponent kills this zoned creature, you can change the power & health of 1 zoned, 3-star Gaios creatures to 360 power & 170 health until it is killed.",,360,170
"Eye of Evilness","4058389c-46ac-44b1-82b0-d515117a2bd7","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:52Z,2022-11-02T07:47:11Z,"wix:image://v1/06e28e_1c902742516e487c940d89d8159aaf6f~mv2.jpg/062-Eye-of-Evilness.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",,"Resource",,"{""V - Beyond Horizons"":""Common""}","Kill 1 revealed card in your opponent’s hand.",,,
"Shape Knight Hexataur","40705158-ae27-4b0d-89d4-458f2583099a","e6d5323f-c6e3-4cbc-a736-057743ef2f24",2024-02-22T04:17:10Z,2024-02-22T04:52:29Z,"wix:image://v1/e6d532_c887e1133a2a40a4b2c70e8a6244e88a~mv2.jpg/041%20-%20Shape%20Knight%20Hexataur.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Sindian Planetary Collection""]",6,"Creature","Sindian",,"This creature's power is 60x it's stars. You can kill 1 of your zoned Shape Knight cards to free play this handed card.",,0,240
"5 Starred Fossil","40bde8ba-667e-4ef1-bb18-a3a214f26fa5","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:26Z,2022-04-08T15:41:26Z,"wix:image://v1/c3c13c_e95207b6c314423389f4417c70a1259d~mv2.jpg/4%2062%20-%205%20star%20fossil.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United"",""Baro Planetary Collection""]",,"Resource",,"{""IV - Planets United"":""Common"",""Baro Planetary Collection"":""Common""}","Add 1 galaxied, 5 star Baro creature to your hand.",,,
"Pelfam","40d8b554-fc3f-4867-b432-7a03b3c61290","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:28Z,2022-04-23T20:46:51Z,"wix:image://v1/c3c13c_64de67f8712145f3b89a15dd6504b40c~mv2.jpg/1%2020%20-%20Pelfam.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos"",""Legends of the Cosmos""]",7,"Creature","Sindell","{""I - The Origin of Chaos"":""Rare"",""Legends of the Cosmos"":""Really Rare""}","When this creature is cost played, return one card on either players' planet to it's owner's hand.","Half-Banned - Only 1 copy of this card is permitted in your deck",330,300
"Drangeling","40f34359-a4b9-45ca-ba79-2adce8ad7c8a","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:51Z,2022-11-02T07:46:44Z,"wix:image://v1/06e28e_52c8b4fc22e94fb4a3177abee444db9e~mv2.jpg/023-Drangeling.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",3,"Creature","Sindian","{""V - Beyond Horizons"":""Common""}","This zoned & killed creature’s name is also Drangel. When this zoned creature is killed, shuffle up to 2 killed, 6 star Drangel creatures into your galaxy, gain 3 stars for each.",,70,120
"Go Berserk","41b6e9ed-31a8-41da-a918-fee8ea93bd8d","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:24Z,2022-04-08T15:41:24Z,"wix:image://v1/c3c13c_1b97739c31eb43d487c83359b435ed5d~mv2.jpg/D4%2028%20-%20Go%20Bezerk.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 4: The Wastelands of Baro""]",,"Activator",,"{""Base Galaxy 4: The Wastelands of Baro"":""Common""}","When you cost play a Boulder Dragon or Big Boulder Dragon to your planet...Instantly kill that creature to free play 1 Berzerk Boulder Dragon which is either killed or in your hand. Also double the amount of turns it would remain on your planet for.",,,
"Staruken","41d43713-acf5-44a5-b5bc-341628a68a1b","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:52Z,2022-11-02T07:59:39Z,"wix:image://v1/06e28e_ea3f1f273744482181aa3b3f95376de8~mv2.jpg/083-staruken.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",,"Attachment",,"{""V - Beyond Horizons"":""Common""}","After the attached creature attacks and kills an opponent’s creature, you gain stars equal to the killed creature’s stars.",,,
"Commander Bossbones","42696ffa-c5f6-4050-b877-7287f432b75a","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:32Z,2022-04-23T20:43:31Z,"wix:image://v1/c3c13c_ad69798857714909b81a3a94431e8bcb~mv2.jpg/3%2021%20-%20Bossbones.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",8,"Creature","Sindell","{""III - Galactic Divide"":""Rare""}","If this card is played by Commander Crossbones, it gains 250 health. You can also kill 1 card on your opponent's planet for every skullcross card that was attached to that Commander Crossbones when it was killed.",,420,250
"Relohex Power Crystal","42c648b9-f55e-4460-b2bb-087e7c612704","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:28Z,2022-04-08T15:41:28Z,"wix:image://v1/c3c13c_a1ff254dfe5345d5bed18be0c82fdf43~mv2.jpg/1%2057%20-%20Relahex%20Power%20Crystal.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos""]",,"Resource",,"{""I - The Origin of Chaos"":""Common""}","Both players show every card in their hand to their opponent.",,,
"Activation Activated Activator","42d7721d-8820-45e6-9761-ec982719c2d1","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:22Z,2025-04-13T20:19:53Z,"wix:image://v1/c3c13c_e67567219aba4de2b32a4c955ff9798e~mv2.jpg/3%20103%20-%20Act%20Act%20Act.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",,"Activator",,"{""III - Galactic Divide"":""Common""}","When your opponent plays an activator card...Kill that activator card.","Half-Banned - Only 1 copy of this card is permitted in your deck",,
"Englorp","4454a92e-2659-4b4f-b753-755d5b4c5d50","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:34Z,2022-04-23T20:44:06Z,"wix:image://v1/c3c13c_50c9d60c66934a33a9224c6f12a8dc2d~mv2.jpg/027---Englorp.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Palicium Planetary Collection""]",2,"Creature","Palicium","{""Palicium Planetary Collection"":""Common""}","This creature gains 20 power & health for each of either player's killed Palicium creatures.",,20,20
"Double Wormhole","45963029-a6f2-491b-80ce-62507f1231bc","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:32Z,2022-04-09T23:47:44Z,"wix:image://v1/c3c13c_b00778fb7e7d46e9bf9d31ea0c523da8~mv2.jpg/2%2055%20-%20Double%20Wormhole.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries"",""Legends of the Cosmos""]",,"Resource",,"{""II - Deep Space Discoveries"":""Common"",""Legends of the Cosmos"":""Common""}","Shuffle 2 of your killed creatures back into your galaxy.",,,
"Voccapeccymacc","45aac576-5e6d-48f9-a630-0856f714afc8","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:22Z,2022-04-23T20:48:59Z,"wix:image://v1/c3c13c_9e834546f68c4b6fadbb18eb53ed745c~mv2.jpg/3%2055%20-%20Voccapeckymacc.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",2,"Creature","Gaios","{""III - Galactic Divide"":""Common""}",,,150,60
"Uknighted","45f8327f-524e-436f-b900-47c26a283e50","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:28Z,2022-04-09T23:48:28Z,"wix:image://v1/c3c13c_025502807faa4b5b94955b4220eaa602~mv2.jpg/2%2063%20-%20Uknighted.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries"",""Legends of the Cosmos""]",,"Resource",,"{""II - Deep Space Discoveries"":""Common"",""Legends of the Cosmos"":""Common""}","Kill 1 Knight creature from your galaxy to add 1 of your different killed Knight creatures to your hand.",,,
"Sky Sentinel","46380c8c-7a43-4040-a444-a57402257631","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:22Z,2022-04-08T15:41:22Z,"wix:image://v1/c3c13c_ba9537030b88458292c41bd7dc71b61e~mv2.jpg/2%2047%20-%20sky%20sentinal.jpg#originWidth=1628&originHeight=1086","/card-database-1/","[""II - Deep Space Discoveries""]",,"Combiner","Sindian","{""II - Deep Space Discoveries"":""Common""}",,,100,500
"Zlock Beast - Zones","46e1be13-1036-4d33-b9fb-5d1c1c37e6e4","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-04-11T02:21:46Z,2022-04-11T02:21:46Z,"wix:image://v1/c3c13c_c00dee3fe6d74fe38322e30fb05a63f0~mv2.jpg/3%2043%20-%20Zlock%20Beast%20zones.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",,"Combiner","Baro","{""III - Galactic Divide"":""Common""}","This creature's power becomes 50x the number of zones on your planet at the same time it is played. This creature's health becomes 50x the number of zones on your opponent's planet at the time it is played (this excludes planet zones).",,,
"Meteor Blaster","46f918c5-4d07-46ba-8174-4322733fd3ec","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:52Z,2022-11-06T02:24:57Z,"wix:image://v1/06e28e_90fe6a3200b6486796c9cf416d20e3c5~mv2.jpg/089-meteor-blaster.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",,"Activator",,"{""V - Beyond Horizons"":""Common""}","When an opponent's card ability would kill 1 or more of your zoned resource/attachment cards… Cancel that card’s ability (permanently if it is a creature or permanent resource card).",,,
"Conjuring Hat Cupboard","4931637c-36ed-4e0c-aef1-a3d5c4fe01df","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:20Z,2022-04-08T15:41:20Z,"wix:image://v1/c3c13c_fa96723ac83d4f9db550788a2b5dfb54~mv2.jpg/4%2069%20-%20Conjurer's%20Hat%20Cupboard.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",,"Permanent Resource",,"{""IV - Planets United"":""Rare""}","Once per turn, except the turn you play this card, you can add 1 zone to your planet. You cannot add the same type of zone more than once with this ability.",,,
"Island Beast - Plains","4b791bf4-bee8-452c-a05f-d935bbcd278b","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:24Z,2022-04-08T15:41:24Z,"wix:image://v1/c3c13c_eab11492d5214ce9972a77e7ba903309~mv2.jpg/1%2048%20-%20Island%20Beast%20Plain.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos""]",,"Combiner","Baro","{""I - The Origin of Chaos"":""Common""}",,,340,400
"Magmol","4b961a5a-5fe5-4fc4-9dfc-8e26aa10aada","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:36Z,2022-04-23T20:46:21Z,"wix:image://v1/c3c13c_224450f43ddf40e0bcb1415333383937~mv2.jpg/1%2032%20-%20Magmol.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos""]",4,"Creature","Sheos","{""I - The Origin of Chaos"":""Common""}",,,270,120
"Chroarok Comet","4c66251a-ac04-468f-a09a-66d66be4c30f","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:22Z,2022-04-08T15:41:22Z,"wix:image://v1/c3c13c_d04564a440614d27b15047a102926827~mv2.jpg/4%2063%20-%20Chroarock%20Comet.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",,"Resource",,"{""IV - Planets United"":""Really Rare""}","Kill 1 zoned resource or attachment card.",,,
"Space-Time Squoz Eater","4c96c94d-0acf-4147-ba51-0d7927bbd622","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-08T23:04:51Z,2022-11-08T23:04:54Z,"wix:image://v1/06e28e_22e4ba74ccbd41c88e7298a6ef8f0f42~mv2.jpg/058-Space-Time-Squoz-Eater.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",8,"Creature","No Planet","{""V - Beyond Horizons"":""Rare""}","When this creature is cost played, attach up to 3 of either player' killed squoz creatures to it. This creature gains 100 power & health for each, and gains any abilities they have when killed.",,110,10
